Open,High,Low,Close,Adj Close,Volume
7.611785888671875,7.619643211364746,7.519999980926514,7.526071071624756,6.444379806518555,352410800
7.622499942779541,7.660714149475098,7.585000038146973,7.643214225769043,6.544687271118164,493729600
7.664286136627197,7.699643135070801,7.6160712242126465,7.656428813934326,6.556003570556641,601904800
7.656428813934326,7.68678617477417,7.526785850524902,7.534643173217773,6.451720237731934,552160000
7.5625,7.5714287757873535,7.466071128845215,7.520713806152344,6.439793109893799,477131200
7.510714054107666,7.5714287757873535,7.466429233551025,7.570713996887207,6.482605934143066,447610800
7.599999904632568,7.607142925262451,7.444643020629883,7.503929138183594,6.425420761108398,462229600
7.471070766448975,7.491786003112793,7.372142791748047,7.4185709953308105,6.352331638336182,594459600
7.423929214477539,7.533214092254639,7.289286136627197,7.523213863372803,6.441934108734131,605892000
7.503929138183594,7.5164289474487305,7.465000152587891,7.479642868041992,6.4046244621276855,432894000
7.533214092254639,7.557143211364746,7.352499961853027,7.354642868041992,6.297591686248779,594067600
7.440357208251953,7.685357093811035,7.401429176330566,7.679999828338623,6.576185703277588,730007600
7.675356864929199,7.698214054107666,7.482142925262451,7.56178617477417,6.474961280822754,612152800
7.574285984039307,7.618214130401611,7.400356769561768,7.431070804595947,6.363034248352051,608154400
7.385000228881836,7.410714149475098,7.041429042816162,7.0625,6.0474371910095215,881767600
7.232500076293945,7.310713768005371,7.1496429443359375,7.252500057220459,6.210127830505371,1065699600
7.3553571701049805,7.632500171661377,7.235000133514404,7.355000019073486,6.297895908355713,1867110000
7.387499809265137,7.520713806152344,7.126070976257324,7.424285888671875,6.357223987579346,1722568400
7.318929195404053,7.339285850524902,7.096428871154785,7.117499828338623,6.094531059265137,1173502400
7.181428909301758,7.221428871154785,6.794642925262451,6.859285831451416,5.873429775238037,1245952400
6.870357036590576,7.0,6.8321428298950195,6.9546427726745605,5.955080986022949,749876400
6.996786117553711,7.0114288330078125,6.906428813934326,6.994999885559082,5.989637851715088,698342400
6.9703569412231445,7.150000095367432,6.943571090698242,7.115356922149658,6.092695236206055,615328000
7.026071071624756,7.0846428871154785,6.841785907745361,6.85892915725708,5.873124599456787,757652000
6.879642963409424,7.0,6.816071033477783,6.980713844299316,5.977406024932861,850306800
6.98892879486084,7.067142963409424,6.9285712242126465,6.932857036590576,5.936425685882568,478270800
7.014999866485596,7.0535712242126465,6.955357074737549,7.006785869598389,5.999730587005615,632886800
6.996070861816406,7.021429061889648,6.937857151031494,6.968571186065674,5.967007160186768,370361600
6.960000038146973,7.1339287757873535,6.930714130401611,7.0953569412231445,6.075570106506348,550345600
7.075356960296631,7.2014288902282715,6.982142925262451,7.156428813934326,6.127864360809326,655468800
7.2121429443359375,7.2746429443359375,7.197143077850342,7.264286041259766,6.22022008895874,543737600
7.292500019073486,7.296785831451416,7.1735711097717285,7.23392915725708,6.1942267417907715,436396800
7.201070785522461,7.28178596496582,7.175714015960693,7.247499942779541,6.205845355987549,422825200
7.209286212921143,7.257143020629883,7.182499885559082,7.202499866485596,6.167314529418945,415469600
7.226428985595703,7.232142925262451,7.11392879486084,7.1578569412231445,6.129088401794434,390563600
7.142857074737549,7.190357208251953,6.989643096923828,7.0378570556640625,6.026336193084717,575094800
7.0796427726745605,7.194285869598389,7.065713882446289,7.166429042816162,6.136427402496338,460566400
7.049285888671875,7.244999885559082,7.03178596496582,7.214285850524902,6.17740535736084,665126000
7.2278571128845215,7.327499866485596,7.214285850524902,7.307857036590576,6.2575297355651855,507460800
7.348214149475098,7.482142925262451,7.337500095367432,7.463929176330566,6.391170501708984,550093600
7.497499942779541,7.5296430587768555,7.419285774230957,7.458929061889648,6.386887550354004,566546400
7.4621429443359375,7.495357036590576,7.42642879486084,7.476070880889893,6.4015655517578125,372052800
7.474286079406738,7.5328569412231445,7.451070785522461,7.525356769561768,6.44376802444458,366041200
7.67642879486084,7.846428871154785,7.6653571128845215,7.819643020629883,6.695757865905762,899620400
7.857500076293945,7.86035680770874,7.794642925262451,7.824285984039307,6.699733257293701,429889600
7.796785831451416,8.035714149475098,7.78178596496582,7.965000152587891,6.820223808288574,920259200
7.993928909301758,8.052857398986816,7.971428871154785,8.029999732971191,6.875880718231201,596218000
7.996786117553711,8.053570747375488,7.975714206695557,8.053570747375488,6.8960652351379395,405700400
8.120356559753418,8.133213996887207,8.0625,8.092857360839844,6.929704666137695,416323600
8.049285888671875,8.053570747375488,7.8660712242126465,7.994286060333252,6.845301151275635,493502800
8.006428718566895,8.03499984741211,7.946785926818848,8.016071319580078,6.86395263671875,446908000
8.032142639160156,8.087499618530273,7.973928928375244,8.00428581237793,6.853863716125488,450956800
8.003570556640625,8.035714149475098,7.950356960296631,8.023214340209961,6.870071887969971,342109600
8.028214454650879,8.044285774230957,7.901071071624756,7.9375,6.7966742515563965,559445600
7.873929023742676,8.071429252624512,7.862500190734863,8.026785850524902,6.873129844665527,456419600
8.058570861816406,8.170714378356934,8.003570556640625,8.15571403503418,6.983528137207031,602431200
8.130000114440918,8.221428871154785,8.125356674194336,8.19178581237793,7.014413833618164,597780400
8.247142791748047,8.248929023742676,8.08035659790039,8.094642639160156,6.931234359741211,542284400
8.176786422729492,8.283928871154785,8.162500381469727,8.246429443359375,7.061203479766846,640875200
8.321429252624512,8.352499961853027,8.272143363952637,8.299642562866211,7.106768608093262,540744400
8.449999809265137,8.481429100036621,8.366070747375488,8.423213958740234,7.212580680847168,527310000
8.410357475280762,8.450357437133789,8.373571395874023,8.39285659790039,7.186585903167725,430659600
8.478928565979004,8.526070594787598,8.3125,8.427499771118164,7.216250419616699,603145200
8.392143249511719,8.518214225769043,8.384642601013184,8.517499923706055,7.29331636428833,684507600
